paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,fieldsOfStudy/1,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,fieldsOfStudy/2,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,fieldsOfStudy/3,fieldsOfStudy/4
8fb1b96dcc133b170e7e5b340f93c5f230d495ee,https://www.semanticscholar.org/paper/8fb1b96dcc133b170e7e5b340f93c5f230d495ee,A streaming ensemble algorithm (SEA) for large-scale classification,"Ensemble methods have recently garnered a great deal of attention in the machine learning community. Techniques such as Boosting and Bagging have proven to be highly effective but require repeated resampling of the training data, making them inappropriate in a data mining context. The methods presented in this paper take advantage of plentiful data, building separate classifiers on sequential chunks of training points. These classifiers are combined into a fixed-size ensemble using a heuristic replacement strategy. The result is a fast algorithm for large-scale or streaming data that classifies as well as a single decision tree built on all the data, requires approximately constant memory, and adjusts quickly to concept drift.",2001,21,1184,166,False,Computer Science,2562282,W. N. Street,2117912702.0,YongSeog Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7924a71ff89f37f66298a6b42bcd26fa7c0f33b,https://www.semanticscholar.org/paper/e7924a71ff89f37f66298a6b42bcd26fa7c0f33b,River: machine learning for streaming data in Python,"River is a machine learning library for dynamic data streams and continual learning. It provides multiple state-of-the-art learning methods, data generators/transformers, performance metrics and evaluators for different stream learning problems. It is the result from the merger of the two most popular packages for stream learning in Python: Creme and scikit-multiflow. River introduces a revamped architecture based on the lessons learnt from the seminal packages. River's ambition is to be the go-to library for doing machine learning on streaming data. Additionally, this open source package brings under the same umbrella a large community of practitioners and researchers. The source code is available at https://github.com/online-ml/river.",2020,49,45,5,False,Computer Science,35479220,Jacob Montiel,104920778.0,Max Halford,31757587.0,S. M. Mastelini,2034015026.0,Geoffrey Bolmier,2034015684.0,Raphael Sourty,2034016270.0,Robin Vaysse,103370422.0,Adil Zouitine,13645563.0,Heitor Murilo Gomes,1383995365.0,Jesse Read,2831624.0,T. Abdessalem,1762931.0,A. Bifet,,,,,,,,,,,,,,,,,,,,,,,,,,
edb189b3d0f777525837b3136e109aa0ba01a99a,https://www.semanticscholar.org/paper/edb189b3d0f777525837b3136e109aa0ba01a99a,Multicategory Classification Using An Extreme Learning Machine for Microarray Gene Expression Cancer Diagnosis,"In this paper, the recently developed Extreme Learning Machine (ELM) is used for directing multicategory classification problems in the cancer diagnosis area. ELM avoids problems like local minima, improper learning rate and overfitting commonly faced by iterative learning methods and completes the training very fast. We have evaluated the multicategory classification performance of ELM on three benchmark microarray data sets for cancer diagnosis, namely, the GCM data set, the Lung data set, and the Lymphoma data set. The results indicate that ELM produces comparable or better classification accuracies with reduced training time and implementation complexity compared to artificial neural networks methods like conventional back-propagation ANN, Linder's SANN, and Support Vector Machine methods like SVM-OVO and Ramaswamy's SVM-OVA. ELM also achieves better accuracies for classification of individual categories.",2007,21,246,4,False,Computer Science,2190082425,Runxuan Zhang,145678691.0,G. Huang,145411276.0,N. Sundararajan,1800678.0,P. Saratchandran,,,,,,,,,,,,,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
b862efa06baea0b032214675eb3c3645d5d69d46,https://www.semanticscholar.org/paper/b862efa06baea0b032214675eb3c3645d5d69d46,Query-Efficient Hard-label Black-box Attack: An Optimization-based Approach,"We study the problem of attacking a machine learning model in the hard-label black-box setting, where no model information is revealed except that the attacker can make queries to probe the corresponding hard-label decisions. This is a very challenging problem since the direct extension of state-of-the-art white-box attacks (e.g., CW or PGD) to the hard-label black-box setting will require minimizing a non-continuous step function, which is combinatorial and cannot be solved by a gradient-based optimizer. The only current approach is based on random walk on the boundary, which requires lots of queries and lacks convergence guarantees. We propose a novel way to formulate the hard-label black-box attack as a real-valued optimization problem which is usually continuous and can be solved by any zeroth order optimization algorithm. For example, using the Randomized Gradient-Free method, we are able to bound the number of iterations needed for our algorithm to achieve stationary points. We demonstrate that our proposed method outperforms the previous random walk approach to attacking convolutional neural networks on MNIST, CIFAR, and ImageNet datasets. More interestingly, we show that the proposed algorithm can also be used to attack other discrete and non-continuous machine learning models, such as Gradient Boosting Decision Trees (GBDT).",2018,26,260,32,False,Computer Science,2424698,Minhao Cheng,2067954216.0,Thong Le,153191489.0,Pin-Yu Chen,2882166.0,Jinfeng Yi,49723481.0,Huan Zhang,1793529.0,Cho-Jui Hsieh,,,,,,,,,,,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,
a178a0bdee7549d87402b6c6128c569109128458,https://www.semanticscholar.org/paper/a178a0bdee7549d87402b6c6128c569109128458,Challenges in Deploying Machine Learning: a Survey of Case Studies,"In recent years, machine learning has transitioned from a field of academic research interest to a field capable of solving real-world business problems. However, the deployment of machine learning models in production systems can present a number of issues and concerns. This survey reviews published reports of deploying machine learning solutions in a variety of use cases, industries and applications and extracts practical considerations corresponding to stages of the machine learning deployment workflow. By mapping found challenges to the steps of the machine learning deployment workflow we show that practitioners face issues at each stage of the deployment process. The goal of this paper is to lay out a research agenda to explore approaches addressing these challenges.",2020,168,76,2,True,Computer Science,133643337,Andrei Paleyes,2000207.0,Raoul-Gabriel Urma,145306271.0,Neil D. Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05351b3abcca9e535c534c3b4bff0865ba96b3ac,https://www.semanticscholar.org/paper/05351b3abcca9e535c534c3b4bff0865ba96b3ac,Confidence-based active learning,"This paper proposes a new active learning approach, confidence-based active learning, for training a wide range of classifiers. This approach is based on identifying and annotating uncertain samples. The uncertainty value of each sample is measured by its conditional error. The approach takes advantage of current classifiers' probability preserving and ordering properties. It calibrates the output scores of classifiers to conditional error. Thus, it can estimate the uncertainty value for each input sample according to its output score from a classifier and select only samples with uncertainty value above a user-defined threshold. Even though we cannot guarantee the optimality of the proposed approach, we find it to provide good performance. Compared with existing methods, this approach is robust without additional computational effort. A new active learning method for support vector machines (SVMs) is implemented following this approach. A dynamic bin width allocation method is proposed to accurately estimate sample conditional error and this method adapts to the underlying probabilities. The effectiveness of the proposed approach is demonstrated using synthetic and real data sets and its performance is compared with the widely used least certain active learning method",2006,44,223,13,False,Computer Science,49140921,Mingkun Li,1702517.0,I. Sethi,,,,,,,,,,,,,,,,,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
ce2d6de9cec4a6d135c32bb8d2d02bba09928b33,https://www.semanticscholar.org/paper/ce2d6de9cec4a6d135c32bb8d2d02bba09928b33,Context-sensitive learning methods for text categorization,"Two recently implemented machine-learning algorithms, RIPPER and sleeping-experts for phrases, are evaluated on a number of large text categorization problems. These algorithms both construct classifiers that allow the “context” of a word w to affect how (or even whether) the presence or absence of w will contribute to a classification. However, RIPPER and sleeping-experts differ radically in many other respects: differences include different notions as to what constitutes a context, different ways of combining contexts to construct a classifier, different methods to search for a combination of contexts, and different criteria as to what contexts should be included in such a combination. In spite of these differences, both RIPPER and sleeping-experts perform extremely well across a wide variety of categorization problems, generally outperforming previously applied learning methods. We view this result as a confirmation of the usefulness of classifiers that represent contextual information.",1996,81,572,47,True,Computer Science,50056360,William W. Cohen,1740765.0,Y. Singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dc36b8d0c08613fb213ad419973d379a2264765,https://www.semanticscholar.org/paper/2dc36b8d0c08613fb213ad419973d379a2264765,Training algorithms for linear text classifiers,"Systems for text retrieval, routing, categorization and other IR tasks rely heavily on linear classifiers. We propose that two machine learning algorithms, the Widrow-Hoff and EG algorithms, be used in training linear text classifiers. In contrast to most IR methods, theoretical analysis provides performance guarantees and guidance on parameter settings for these algorithms. Experimental data is presented showing Widrow-Hoff and EG to be more effective than the widely used Rocchio algorithm on several categorization and routing tasks.",1996,57,632,34,True,Computer Science,35153517,D. Lewis,1716301.0,R. Schapire,144987107.0,Jamie Callan,47394834.0,R. Papka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3984c09b19eca83aa78a5fcbc1f87106685b34c7,https://www.semanticscholar.org/paper/3984c09b19eca83aa78a5fcbc1f87106685b34c7,Monitoring Land-Cover Changes: A Machine-Learning Perspective,"Monitoring land-cover changes is of prime importance for the effective planning and management of critical, natural and man-made resources. The growing availability of remote sensing data provides ample opportunities for monitoring land-cover changes on a global scale using machine-learning techniques. However, remote sensing data sets exhibit unique domain-specific properties that limit the usefulness of traditional machine-learning methods. This article presents a brief overview of these challenges from the perspective of machine learning and discusses some of the recent advances in machine learning that are relevant for addressing them. These approaches show promise for future research in the detection of land-cover change using machine-learning algorithms.",2016,58,64,2,False,Computer Science,2548167,A. Karpatne,49165342.0,Zhe Jiang,3001600.0,Ranga Raju Vatsavai,145072875.0,S. Shekhar,2107978833.0,Vipin Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ea909c9509aa556786687fb044f2ce86100e4ec,https://www.semanticscholar.org/paper/4ea909c9509aa556786687fb044f2ce86100e4ec,Quantum Entanglement in Neural Network States,"Machine learning, one of today's most rapidly growing interdisciplinary fields, promises an unprecedented perspective for solving intricate quantum many-body problems. Understanding the physical aspects of the representative artificial neural-network states is recently becoming highly desirable in the applications of machine learning techniques to quantum many-body physics. Here, we study the quantum entanglement properties of neural-network states, with a focus on the restricted-Boltzmann-machine (RBM) architecture. We prove that the entanglement of all short-range RBM states satisfies an area law for arbitrary dimensions and bipartition geometry. For long-range RBM states we show by using an exact construction that such states could exhibit volume-law entanglement, implying a notable capability of RBM in representing efficiently quantum states with massive entanglement. We further examine generic RBM states with random weight parameters. We find that their averaged entanglement entropy obeys volume-law scaling and meantime strongly deviates from the Page-entropy of the completely random pure states. We show that their entanglement spectrum has no universal part associated with random matrix theory and bears a Poisson-type level statistics. Using reinforcement learning, we demonstrate that RBM is capable of finding the ground state (with power-law entanglement) of a model Hamiltonian with long-range interaction. In addition, we show, through a concrete example of the one-dimensional symmetry-protected topological cluster states, that the RBM representation may also be used as a tool to analytically compute the entanglement spectrum. Our results uncover the unparalleled power of artificial neural networks in representing quantum many-body states, which paves a novel way to bridge computer science based machine learning techniques to outstanding quantum condensed matter physics problems.",2017,128,271,10,True,Physics,5204254,D. Deng,2108285127.0,Xiaopeng Li,2888542.0,S. Sarma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
